,Pos,Salary,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference,Division,FG&
10,PF,9937150.0,27.0,ORL,69.0,69.0,27.3,4.5,9.5,0.468,1.4,3.8,0.36,2.249285714285714,5.8,0.539,0.54,2.1,2.7,0.783,0.8,3.0129496402877693,5.7,3.6,1.2,0.8,1.2,1.7,12.4,Eastern Conference,Southwest Division,0.468
11,PF,39344970.0,26.0,MIL,61.0,,33.0,3.28,18.0,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.5006492537313433,6.5,9.5,0.685,1.6,9.4,11.0,5.9,1.2,1.2,1.0654676258992806,2.8,28.1,Eastern Conference,Central Division,0.569
12,PF,9100448.459183674,25.872340425531913,LAL,15.0,0.0,3.7,0.2,0.7,0.3,0.0,2.7007246376811596,0.2928267716535433,0.2,0.7,0.3,0.5006492537313433,0.4,0.9,0.754476923076923,0.3,1.0,3.972413793103448,0.1,0.1,0.3,0.7,0.5,8.87410071942446,Western Conference,Pacific Division,0.3
13,SF,1729217.0,28.0,MIL,57.0,3.0,20.094890510948904,1.2,2.4,0.489,0.9538461538461539,0.5,0.241,1.1,1.9,0.556,0.515,0.4,0.9,0.51,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,Eastern Conference,Central Division,0.489
14,PF,2641691.0,36.0,POR,3.0,3.0,24.5,4.7,11.3,0.421,1.9,4.7,0.409,2.8,6.6,0.429,0.506,2.0,1.8856115107913671,0.89,0.5,2.6,3.1,1.5,0.7,0.6,0.9,1.6391304347826086,13.4,Western Conference,Northwest Division,0.421
15,PG,3449400.0,20.0,ORL,47.0,34.0,27.1,3.28,11.7,0.397,1.2,2.7007246376811596,0.337,3.4,8.1,0.424,0.449,2.3,2.8,0.832,0.8,3.9,4.7,4.1,0.6340579710144928,0.4,2.3,2.1,12.9,Eastern Conference,Southeast Division,0.397
16,SF,9100448.459183674,23.0,TOR,43.0,43.0,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6.0,0.49312408759124093,0.58,1.4921428571428574,2.4,0.754476923076923,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,Eastern Conference,Atlantic Division,0.48
17,PG,9100448.459183674,26.0,CHI,44.0,0.0,10.2,1.1,2.7,0.419,0.6,1.5,0.373,0.5,1.1,0.48,0.526,0.3,1.8856115107913671,0.65,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1,Eastern Conference,Central Division,0.419
18,SF,2641691.0,25.872340425531913,MIA,30.0,27.0,28.0,3.3,8.0,0.411,0.9538461538461539,4.8,0.35,1.6,3.3,0.5,0.5006492537313433,1.1,1.5,0.754476923076923,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4,Eastern Conference,Southeast Division,0.411
19,PG,7622467.0,33.0,MIL,37.0,6.0,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.497,1.0,1.1,0.9,0.3,3.0129496402877693,1.4,3.0,0.5,0.0,0.9,0.9,6.1,Eastern Conference,Central Division,0.37
20,PG,7622467.0,33.0,HOU,20.0,6.0,20.8,3.2,7.6,0.424,1.7,4.4,0.386,1.5,3.2,0.476,0.536,2.5,2.7,0.907,0.5,1.8,2.2,3.9,0.4,0.0,1.6,1.2,10.6,Western Conference,Central Division,0.424
21,SF,4692840.0,20.0,WAS,54.0,32.0,23.3,2.4,5.8,0.417,1.0,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,Eastern Conference,Southeast Division,0.417
22,C,2075880.0,21.0,UTA,15.0,0.0,3.8,0.3,0.6,0.444,0.0,0.0,0.2928267716535433,0.3,0.6,0.444,0.444,0.5,0.7,0.8,0.3,0.6,0.9,0.0,0.6340579710144928,0.3,0.2,0.6,1.1,Western Conference,Northwest Division,0.444
23,SG,9100448.459183674,25.0,ORL,72.0,50.0,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449,0.443,2.0,2.4,0.754476923076923,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.6391304347826086,10.9,Eastern Conference,Southeast Division,0.402
24,PF,11312114.0,21.0,SAC,43.0,42.0,25.9,5.7,11.4,0.504,0.9,2.5,0.343,4.9,8.9,0.55,0.542,1.8,3.1,0.575,2.5,4.9,7.4,1.0,0.5,0.5,1.0654676258992806,2.3,14.1,Western Conference,Pacific Division,0.504
25,PG,18604651.0,23.0,NOP,55.0,55.0,31.8,5.3,12.7,0.414,0.9538461538461539,8.3,0.378,2.249285714285714,4.5,0.482,0.537,0.9,1.2,0.781,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,14.6,Western Conference,Southwest Division,0.414
26,C,7568742.0,22.0,ORL,46.0,5.0,15.8,3.1,6.5,0.472,0.8,2.6,0.322,2.3,4.0,0.49312408759124093,0.535,1.0,1.4,0.682,1.7,4.1,5.8,0.8,0.3,0.44592592592592595,0.8,1.9,8.0,Eastern Conference,Southeast Division,0.472
27,SG,2033160.0,22.0,ORL,68.0,17.0,22.3,3.4,7.3,0.469,1.7,4.0,0.2928267716535433,1.7,3.4,0.513,0.586,0.6,0.7,0.816,0.5,2.6,3.972413793103448,1.7,0.6,0.2,0.9,1.8,9.2,Western Conference,Southwest Division,0.469
